0	0	370.171533
1	5,625	379.372843
2	11,25	384.867456
3	16,875	379.372843
4	22,5	370.171533
5	28,125	363.709516
6	33,75	361.490213
7	39,375	363.709516
8	45	370.171533
9	50,625	379.372843
10	56,25	384.867456
11	61,875	379.372843
12	67,5	370.171533
13	73,125	363.709516
14	78,75	361.490213
15	84,375	363.709516
16	90	370.171533
17	95,625	379.372843
18	101,25	384.867456
19	106,875	379.372843
20	112,5	370.171533
21	118,125	363.709516
22	123,75	361.490213
23	129,375	363.709516
24	135	370.171533
25	140,625	379.372843
26	146,25	384.867456
27	151,875	379.372843
28	157,5	370.171533
29	163,125	363.709516
30	168,75	361.490213
31	174,375	363.709516
32	180	370.171533
33	185,625	379.372843
34	191,25	384.867456
35	196,875	379.372843
36	202,5	370.171533
37	208,125	363.709516
38	213,75	361.490213
39	219,375	363.709516
40	225	370.171533
41	230,625	379.372843
42	236,25	384.867456
43	241,875	379.372843
44	247,5	370.171533
45	253,125	363.709516
46	258,75	361.490213
47	264,375	363.709516
48	270	370.171533
49	275,625	379.372843
50	281,25	384.867456
51	286,875	379.372843
52	292,5	370.171533
53	298,125	363.709516
54	303,75	361.490213
55	309,375	363.709516
56	315	370.171533
57	320,625	379.372843
58	326,25	384.867456
59	331,875	379.372843
60	337,5	370.171533
61	343,125	363.709516
62	348,75	361.490213
63	354,375	363.709516
64	360	370.171533

